date,000933.CSI_open,000933.CSI_high,000933.CSI_low,000933.CSI_close,000933.CSI_change,000933.CSI_amount,000933.CSI_volume
7/11/2016,9014.68,9143.06,8991.74,9046.82,0.0049,17623.18,852960900
7/12/2016,9047.95,9269.53,9047.95,9268.41,0.0245,23351.68,1173819500
7/13/2016,9295.68,9352.95,9222.44,9253.46,-0.0016,18823.05,943896200
7/14/2016,9240.97,9256.6,9180.28,9245.18,-0.0009,12856.83,642313100
7/15/2016,9241.46,9288.3,9194.19,9261.37,0.0018,12888.32,640734600
7/18/2016,9249.32,9279.17,9181.8,9224.71,-0.004,13906.51,657745900
7/19/2016,9221.72,9227.5,9118,9176.32,-0.0052,11666.65,553288200
7/20/2016,9177.18,9229.98,9164.61,9171.31,-0.0005,10457.8,521708900
7/21/2016,9176.88,9260.16,9172.86,9195.38,0.0026,11881.53,575178300
7/22/2016,9197.66,9208.42,9102.61,9109.16,-0.0094,12356.85,579134000
7/25/2016,9102.73,9195.7,9101.57,9162.8,0.0059,10633.58,507271600
7/26/2016,9164.22,9304.39,9161.31,9302.81,0.0153,13326.81,679367600
7/27/2016,9320.71,9377.96,8982.93,9112.15,-0.0205,24227.04,1236267500
7/28/2016,9092.37,9208.23,9060.87,9176.67,0.0071,16248.92,772914600
7/29/2016,9170.94,9273.17,9169.94,9231.54,0.006,17738.31,850344300
8/1/2016,9206.91,9206.91,8986.3,9057.21,-0.0189,15064.47,743176100
8/2/2016,9048.02,9122.32,9024.85,9121.04,0.007,10118.93,536841000
8/3/2016,9099.14,9167.97,9074.66,9137.31,0.0018,10658.21,526701000
8/4/2016,9135.23,9162.75,9077.32,9132.67,-0.0005,9982.34,483859800
8/5/2016,9129.4,9171.07,9112.31,9115.28,-0.0019,11273.15,556202100
8/8/2016,9093.81,9209.49,9047.34,9209.39,0.0103,10848.53,523824700
8/9/2016,9211.25,9294.22,9206.74,9294.15,0.0092,12205.23,587642000
8/10/2016,9292.63,9326.28,9263.75,9271.76,-0.0024,12392.87,577087700
8/11/2016,9258.27,9299.17,9178.12,9178.28,-0.0101,11109.27,501873700
8/12/2016,9168.21,9259.24,9156.54,9257.37,0.0086,10804.97,485407800
8/15/2016,9271.66,9426.16,9235.26,9422.79,0.0179,17757.47,837768000
8/16/2016,9426.07,9464.41,9377.6,9435.95,0.0014,18626.11,856570300
8/17/2016,9426.47,9474.97,9404.71,9450.18,0.0015,14328.98,653905700
8/18/2016,9432.92,9452.81,9370.41,9391.99,-0.0062,13679.64,675612700
8/19/2016,9384.07,9432.91,9350.52,9411.59,0.0021,11287.12,606302400
8/22/2016,9430.84,9470.1,9385.69,9388.78,-0.0024,15040.23,805602800
8/23/2016,9378.23,9478.9,9376.27,9451.54,0.0067,15398.08,818792600
8/24/2016,9456.54,9496.22,9429.5,9450.58,-0.0001,12947.67,670774400
8/25/2016,9412.55,9442.17,9328.02,9427.72,-0.0024,15258.49,782997600
8/26/2016,9434.15,9556.39,9433.72,9465.37,0.004,15904.66,816712600
8/29/2016,9468.94,9528.44,9465.73,9491.05,0.0027,15438.49,738878000
8/30/2016,9489.04,9531.03,9436.41,9451.68,-0.0041,11582.46,551463900
8/31/2016,9447.33,9485.19,9398.93,9484.78,0.0035,10709.49,510535400
9/1/2016,9487.14,9502,9421.68,9423.02,-0.0065,10703.23,530029800
9/2/2016,9407.74,9447.22,9355.43,9405.44,-0.0019,13401.37,613840900
9/5/2016,9419.48,9446.01,9389.52,9403.87,-0.0002,10231.31,502224500
9/6/2016,9407.3,9503.24,9339.32,9494.11,0.0096,12918.25,635260600
9/7/2016,9498.96,9533.8,9464.3,9494.4,0,14373.12,705936400
9/8/2016,9485.79,9529.13,9483.16,9527.22,0.0035,11750.27,621850700
9/9/2016,9525.66,9558.93,9452.24,9452.63,-0.0078,10898.94,574161100
9/12/2016,9317.57,9340.88,9232.29,9255.23,-0.0209,13727.76,685758500
9/13/2016,9288.44,9306.54,9230.85,9277.09,0.0024,8380.18,424053500
9/14/2016,9250.17,9283,9210.83,9233.6,-0.0047,8118.66,432708500
9/19/2016,9239.5,9325.36,9239.5,9325.36,0.0099,7288.76,376756900
9/20/2016,9328.86,9348.9,9321.88,9338.01,0.0014,6712.92,326586600
9/21/2016,9343.72,9374.97,9333.04,9354.98,0.0018,7003.02,358437500
9/22/2016,9412.46,9435.36,9385.6,9399.05,0.0047,9084.06,458422700
9/23/2016,9409.18,9416.44,9381.38,9406.54,0.0008,7624.31,364334200
