,中国:日均销量(厂家零售):乘用车
2018-05-16,58653.0
2018-05-17,58653.0
2018-05-18,58653.0
2018-05-21,44316.0
2018-05-22,44316.0
2018-05-23,44316.0
2018-05-24,44316.0
2018-05-25,48974.0
2018-05-28,48974.0
2018-05-29,48974.0
2018-05-30,48974.0
2018-05-31,65351.0
2018-06-01,65351.0
2018-06-04,65351.0
2018-06-05,65351.0
2018-06-06,65351.0
2018-06-07,65351.0
2018-06-08,32199.0
2018-06-11,32199.0
2018-06-12,32199.0
2018-06-13,32199.0
2018-06-14,32199.0
2018-06-15,39585.0
2018-06-19,39585.0
2018-06-20,39585.0
2018-06-21,39585.0
2018-06-22,45275.0
2018-06-25,45275.0
2018-06-26,45275.0
2018-06-27,45275.0
2018-06-28,45275.0
2018-06-29,45275.0
2018-07-02,84628.0
2018-07-03,84628.0
2018-07-04,84628.0
2018-07-05,84628.0
2018-07-06,29874.0
2018-07-09,29874.0
2018-07-10,29874.0
2018-07-11,29874.0
2018-07-12,29874.0
2018-07-13,36585.0
2018-07-16,36585.0
2018-07-17,36585.0
2018-07-18,36585.0
2018-07-19,36585.0
2018-07-20,43091.0
2018-07-23,43091.0
2018-07-24,43091.0
2018-07-25,43091.0
2018-07-26,43091.0
2018-07-27,43091.0
2018-07-30,43091.0
2018-07-31,62390.0
2018-08-01,62390.0
2018-08-02,62390.0
2018-08-03,43487.0
2018-08-06,43487.0
2018-08-07,43487.0
2018-08-08,43487.0
2018-08-09,43487.0
2018-08-10,37423.0
2018-08-13,37423.0
2018-08-14,37423.0
2018-08-15,37423.0
2018-08-16,37423.0
2018-08-17,42225.0
2018-08-20,42225.0
2018-08-21,42225.0
2018-08-22,42225.0
2018-08-23,42225.0
2018-08-24,49833.0
2018-08-27,49833.0
2018-08-28,49833.0
2018-08-29,49833.0
2018-08-30,49833.0
2018-08-31,79637.0
2018-09-03,79637.0
2018-09-04,79637.0
2018-09-05,79637.0
2018-09-06,79637.0
2018-09-07,37161.0
2018-09-10,37161.0
2018-09-11,37161.0
2018-09-12,37161.0
2018-09-13,37161.0
2018-09-14,44011.0
2018-09-17,44011.0
2018-09-18,44011.0
2018-09-19,44011.0
2018-09-20,44011.0
2018-09-21,51410.0
2018-09-25,51410.0
2018-09-26,51410.0
2018-09-27,51410.0
2018-09-28,51410.0
2018-10-08,15507.0
2018-10-09,15507.0
2018-10-10,15507.0
2018-10-11,15507.0
2018-10-12,63411.0
2018-10-15,63411.0
2018-10-16,63411.0
2018-10-17,63411.0
2018-10-18,63411.0
2018-10-19,53163.0
2018-10-22,53163.0
2018-10-23,53163.0
2018-10-24,53163.0
2018-10-25,53163.0
2018-10-26,56559.0
2018-10-29,56559.0
2018-10-30,56559.0
2018-10-31,100670.0
2018-11-01,100670.0
2018-11-02,100670.0
2018-11-05,100670.0
2018-11-06,100670.0
2018-11-07,100670.0
2018-11-08,100670.0
2018-11-09,34952.0
2018-11-12,34952.0
2018-11-13,34952.0
2018-11-14,34952.0
2018-11-15,34952.0
2018-11-16,51657.0
2018-11-19,51657.0
2018-11-20,51657.0
2018-11-21,51657.0
2018-11-22,51657.0
2018-11-23,53671.0
2018-11-26,53671.0
2018-11-27,53671.0
2018-11-28,53671.0
2018-11-29,53671.0
2018-11-30,105140.0
2018-12-03,105140.0
2018-12-04,105140.0
2018-12-05,105140.0
2018-12-06,105140.0
2018-12-07,35173.0
2018-12-10,35173.0
2018-12-11,35173.0
2018-12-12,35173.0
2018-12-13,35173.0
2018-12-14,52152.0
2018-12-17,52152.0
2018-12-18,52152.0
2018-12-19,52152.0
2018-12-20,52152.0
2018-12-21,55623.0
2018-12-24,55623.0
2018-12-25,55623.0
2018-12-26,55623.0
2018-12-27,55623.0
2018-12-28,55623.0
2019-01-02,102639.0
2019-01-03,102639.0
2019-01-04,50810.0
2019-01-07,50810.0
2019-01-08,50810.0
2019-01-09,50810.0
2019-01-10,50810.0
2019-01-11,55961.0
2019-01-14,55961.0
2019-01-15,55961.0
2019-01-16,55961.0
2019-01-17,55961.0
2019-01-18,64639.0
2019-01-21,64639.0
2019-01-22,64639.0
2019-01-23,64639.0
2019-01-24,64639.0
2019-01-25,67532.0
2019-01-28,67532.0
2019-01-29,67532.0
2019-01-30,67532.0
2019-01-31,74453.0
2019-02-01,74453.0
2019-02-11,10203.0
2019-02-12,10203.0
2019-02-13,10203.0
2019-02-14,10203.0
2019-02-15,49795.0
2019-02-18,49795.0
2019-02-19,49795.0
2019-02-20,49795.0
2019-02-21,49795.0
2019-02-22,39926.0
2019-02-25,39926.0
2019-02-26,39926.0
2019-02-27,39926.0
2019-02-28,73331.0
2019-03-01,73331.0
2019-03-04,73331.0
2019-03-05,73331.0
2019-03-06,73331.0
2019-03-07,73331.0
2019-03-08,34244.0
2019-03-11,34244.0
2019-03-12,34244.0
2019-03-13,34244.0
2019-03-14,34244.0
2019-03-15,40029.0
2019-03-18,40029.0
2019-03-19,40029.0
2019-03-20,40029.0
2019-03-21,40029.0
2019-03-22,44666.0
2019-03-25,44666.0
2019-03-26,44666.0
2019-03-27,44666.0
2019-03-28,44666.0
2019-03-29,44666.0
2019-04-01,75110.0
2019-04-02,75110.0
2019-04-03,75110.0
2019-04-04,35321.0
2019-04-08,35321.0
2019-04-09,35321.0
2019-04-10,35321.0
2019-04-11,35321.0
2019-04-12,29333.0
2019-04-15,29333.0
2019-04-16,29333.0
2019-04-17,29333.0
2019-04-18,29333.0
2019-04-19,37244.0
2019-04-22,37244.0
2019-04-23,37244.0
2019-04-24,37244.0
2019-04-25,37244.0
2019-04-26,46993.0
2019-04-29,46993.0
2019-04-30,90658.0
2019-05-06,90658.0
2019-05-07,90658.0
2019-05-08,90658.0
2019-05-09,90658.0
2019-05-10,33517.0
2019-05-13,33517.0
2019-05-14,33517.0
2019-05-15,33517.0
2019-05-16,33517.0
2019-05-17,39648.0
2019-05-20,39648.0
2019-05-21,39648.0
2019-05-22,39648.0
2019-05-23,39648.0
2019-05-24,44146.0
2019-05-27,44146.0
2019-05-28,44146.0
2019-05-29,44146.0
2019-05-30,44146.0
2019-05-31,77129.0
2019-06-03,77129.0
2019-06-04,77129.0
2019-06-05,77129.0
2019-06-06,77129.0
2019-06-10,25074.0
2019-06-11,25074.0
2019-06-12,25074.0
2019-06-13,25074.0
2019-06-14,25074.0
2019-06-17,50594.0
2019-06-18,50594.0
2019-06-19,50594.0
2019-06-20,50594.0
2019-06-21,50594.0
2019-06-24,55208.0
2019-06-25,55208.0
2019-06-26,55208.0
2019-06-27,55208.0
2019-06-28,55208.0
2019-07-01,90831.0
2019-07-02,90831.0
2019-07-03,90831.0
2019-07-04,90831.0
2019-07-05,90831.0
2019-07-08,28784.0
2019-07-09,28784.0
2019-07-10,28784.0
2019-07-11,28784.0
2019-07-12,28784.0
2019-07-15,34839.0
2019-07-16,34839.0
2019-07-17,34839.0
2019-07-18,34839.0
2019-07-19,34839.0
2019-07-22,36186.0
2019-07-23,36186.0
2019-07-24,36186.0
2019-07-25,36186.0
2019-07-26,36186.0
2019-07-29,41998.0
2019-07-30,41998.0
2019-07-31,119666.0
2019-08-01,119666.0
2019-08-02,119666.0
2019-08-05,119666.0
2019-08-06,119666.0
2019-08-07,119666.0
2019-08-08,119666.0
2019-08-09,119666.0
2019-08-12,27235.0
2019-08-13,27235.0
2019-08-14,27235.0
2019-08-15,27235.0
2019-08-16,27235.0
2019-08-19,38112.0
2019-08-20,38112.0
2019-08-21,38112.0
2019-08-22,38112.0
2019-08-23,38112.0
2019-08-26,44365.0
2019-08-27,44365.0
2019-08-28,44365.0
2019-08-29,44365.0
2019-08-30,44365.0
2019-09-02,100391.0
2019-09-03,100391.0
2019-09-04,100391.0
2019-09-05,100391.0
2019-09-06,100391.0
2019-09-09,30169.0
2019-09-10,30169.0
2019-09-11,30169.0
2019-09-12,30169.0
2019-09-16,39980.0
2019-09-17,39980.0
2019-09-18,39980.0
2019-09-19,39980.0
2019-09-20,39980.0
2019-09-23,45458.0
2019-09-24,45458.0
2019-09-25,45458.0
2019-09-26,45458.0
2019-09-27,45458.0
2019-09-30,94281.0
2019-10-08,94281.0
2019-10-09,94281.0
2019-10-10,94281.0
2019-10-11,94281.0
2019-10-14,32113.0
2019-10-15,32113.0
2019-10-16,32113.0
2019-10-17,32113.0
2019-10-18,32113.0
2019-10-21,47673.0
2019-10-22,47673.0
2019-10-23,47673.0
2019-10-24,47673.0
2019-10-25,47673.0
2019-10-28,51357.0
2019-10-29,51357.0
2019-10-30,51357.0
2019-10-31,136475.0
2019-11-01,136475.0
2019-11-04,136475.0
2019-11-05,136475.0
2019-11-06,136475.0
2019-11-07,136475.0
2019-11-08,136475.0
2019-11-11,21695.0
2019-11-12,21695.0
2019-11-13,21695.0
2019-11-14,21695.0
2019-11-15,21695.0
2019-11-18,48783.0
2019-11-19,48783.0
2019-11-20,48783.0
2019-11-21,48783.0
2019-11-22,48783.0
2019-11-25,49058.0
2019-11-26,49058.0
2019-11-27,49058.0
2019-11-28,49058.0
2019-11-29,49058.0
