,B.IPE_open,B.IPE_high,B.IPE_low,B.IPE_close,B.IPE_volume
2022-05-10,105.5,106.96,101.54,101.6,327990.0
2022-05-11,101.51,108.29,101.3,107.51,287529.0
2022-05-12,107.67,108.71,104.69,107.92,264263.0
2022-05-13,108.25,111.69,107.79,111.22,220316.0
2022-05-16,111.67,114.79,108.84,114.03,218438.0
2022-05-17,114.42,115.69,111.09,112.83,277888.0
2022-05-18,112.91,114.15,108.35,109.25,245044.0
2022-05-19,108.22,112.31,105.7,111.5,272347.0
2022-05-20,111.45,113.23,110.52,112.91,180892.0
2022-05-23,112.85,114.34,111.86,113.47,196505.0
2022-05-24,112.79,114.63,111.7,113.84,191734.0
2022-05-25,111.35,112.38,110.18,111.51,210940.0
2022-05-26,111.44,114.77,110.88,114.46,232567.0
2022-05-27,114.37,115.8,113.12,115.32,255249.0
2022-05-30,115.47,117.94,115.32,117.7,145090.0
2022-05-31,118.2,120.8,115.15,116.27,360167.0
2022-06-01,116.08,118.57,115.4,115.9,242156.0
2022-06-02,115.02,118.46,112.45,118.29,216903.0
2022-06-06,121.55,121.95,118.77,119.99,204089.0
2022-06-07,119.94,121.37,118.55,121.0,276716.0
2022-06-08,120.65,124.4,120.45,123.94,256288.0
2022-06-09,123.6,124.34,122.5,122.93,218983.0
2022-06-10,122.89,124.33,119.81,121.93,294278.0
2022-06-13,121.94,123.7,118.93,122.36,257105.0
2022-06-14,121.88,125.19,118.91,121.09,291264.0
2022-06-15,120.79,121.88,117.75,118.98,231061.0
2022-06-16,119.65,120.29,115.56,119.03,276675.0
2022-06-17,119.13,121.25,111.72,113.61,319905.0
2022-06-20,113.88,114.5,111.52,114.21,161603.0
2022-06-21,114.21,116.25,114.02,114.89,204031.0
2022-06-22,114.4,114.45,107.03,110.03,293049.0
2022-06-23,106.33,109.28,105.03,106.2,237776.0
2022-06-24,106.4,110.14,105.67,108.99,241474.0
2022-06-27,109.0,111.89,107.15,111.21,239015.0
2022-06-28,111.57,114.1,111.48,114.0,267385.0
2022-06-29,113.93,116.24,111.74,112.3,283482.0
2022-06-30,112.45,113.25,108.19,109.2,313716.0
2022-07-01,109.49,112.45,108.03,111.48,235417.0
2022-07-04,111.65,114.0,110.4,113.83,100588.0
2022-07-05,113.54,114.75,101.1,104.8,428839.0
2022-07-06,104.88,105.85,98.5,99.8,350296.0
2022-07-07,100.14,106.35,98.5,104.1,279661.0
2022-07-08,104.65,107.47,103.67,107.15,238348.0
2022-07-11,107.0,107.7,103.64,106.41,194659.0
2022-07-12,106.25,106.56,98.9,99.22,275618.0
2022-07-13,98.5,101.21,98.28,99.85,247469.0
2022-07-14,99.43,100.39,94.5,99.71,318794.0
2022-07-15,99.91,102.64,98.17,101.13,218091.0
2022-07-18,100.82,106.48,99.46,105.69,213498.0
