指标名称,中国:产量:太阳能:当月值,中国:产量:核电:当月值,中国:产量:风电:当月值,中国:产量:水电:当月值,中国:产量:火电:当月值,中国:产量:发电量:当月值
2006-10-31,,41.7699,,331.06,1953.36,2324.3
2006-11-30,,43.6204,,271.88,2043.49,2363.36
2006-12-31,,46.6644,,254.47,2265.59,2573.4
2007-01-31,,40.2497,,216.62,2239.04,2512.38
2007-02-28,,35.7406,,199.7,1719.78,1967.31
2007-03-31,,40.76,,253.41,2164.38,2472.0
2007-04-30,,42.3,,287.92,2124.97,2474.47
2007-05-31,,35.9,,336.11,2184.97,2568.68
2007-06-30,,54.5,,459.14,2190.21,2715.59
2007-07-31,,61.2,,494.07,2352.15,2915.71
2007-08-31,,64.1,,527.3,2390.45,2989.76
2007-09-30,,61.6,,525.49,2164.72,2760.05
2007-10-31,,58.2,,435.01,2225.78,2727.88
2007-11-30,,55.6,,323.18,2348.84,2754.73
2007-12-31,,55.5,,273.97,2607.1,2946.87
2008-01-31,,53.1,,249.7,2497.43,2831.52
2008-02-29,,52.2,,228.93,2029.83,2337.76
2008-03-31,,58.3,,279.55,2535.47,2897.84
2008-04-30,,60.2,,372.68,2366.63,2814.32
2008-05-31,,52.1,,444.45,2415.04,2933.79
2008-06-30,,49.3,,549.33,2306.44,2934.47
2008-07-31,,59.5,,604.12,2514.86,3195.36
2008-08-31,,64.6,,637.67,2433.44,3160.6
2008-09-30,,55.9,,575.03,2241.36,2892.45
2008-10-31,,63.8,,447.16,2113.92,2645.01
2008-11-30,,53.6,,472.74,1994.82,2540.22
2008-12-31,,56.8,,365.37,2294.25,2739.61
2009-01-31,,40.5,,303.94,2045.99,2433.57
2009-02-28,,57.6,,306.56,2036.61,2449.38
2009-03-31,,41.4,,348.43,2399.37,2833.61
2009-04-30,,54.9,,421.09,2187.62,2712.88
2009-05-31,,54.2,,538.14,2201.18,2838.9
2009-06-30,,52.3,,585.46,2406.67,3100.09
2009-07-31,,65.6,,641.67,2606.33,3344.98
2009-08-31,,63.1,,668.04,2671.64,3443.2
2009-09-30,,62.6,22.0,561.07,2540.05,3203.33
2009-10-31,,66.5,27.0,435.85,2561.31,3121.04
2009-11-30,,55.0843,34.5,364.74,2759.53,3234.09
2009-12-31,,54.5,,360.05,3030.24,3497.8
2010-01-31,,57.634,23.3,302.0925,2932.3522,3394.2042
2010-02-28,,54.8,22.1,260.0,2299.0,2695.9
2010-03-31,,62.9,31.5,339.2,2883.0,3369.5
2010-04-30,,54.4,31.3,416.2,2764.3,3316.4
2010-05-31,,52.9,40.4,558.7,2709.3,3404.7
2010-06-30,,51.0,47.3,703.8,2616.6,3466.6
2010-07-31,,63.8,24.1,826.8,2809.1,3776.4
2010-08-31,,65.0,32.1,822.5,2951.2,3903.3
2010-09-30,,65.0661,27.8,755.5,2600.9,3486.5
2010-10-31,,69.2,33.0,630.3,2562.6,3328.8
2010-11-30,,70.3,51.4,507.2,2789.5,3453.4
2010-12-31,,70.3,59.4,472.3,3040.9,3677.8
2011-01-31,,75.4125,47.5,398.4325,3113.2979,3672.2746
2011-02-28,,60.1,51.2,325.4,2624.0,3100.8
2011-03-31,,70.3,66.6,411.6,3232.4,3830.1
2011-04-30,,73.9,63.3,421.0,3070.4,3663.8
2011-05-31,,68.8,76.4,511.4,3087.0,3775.4
2011-06-30,,65.5,73.1,664.1,3127.5,3968.2
2011-07-31,,77.6,55.7,698.3,3392.0,4251.5
2011-08-31,,81.4,44.6,656.1,3457.7,4260.4
2011-09-30,,76.9,47.5,568.5,3146.4,3860.6
2011-10-31,,72.6,54.6,501.2,2990.3,3640.4
2011-11-30,,65.6,65.0,493.5,3063.2,3713.0
2011-12-31,,75.4,73.7,442.1,3425.1,4038.1
2012-01-31,,64.5168,54.9,350.9316,2942.6822,3485.4465
2012-02-29,,61.7,67.2,336.6282,3146.1532,3701.9245
2012-03-31,,82.7,75.6,413.1,3443.5,4109.2
2012-04-30,,78.4,79.3,438.3,3049.1,3718.2
2012-05-31,,69.5,75.6,665.5,3014.7,3898.1
2012-06-30,,69.6,80.8,752.8,2953.4,3933.5
2012-07-31,,86.4,63.4,916.3,3215.2,4351.2
2012-08-31,,83.6,67.0,944.5,3207.9,4372.8
2012-09-30,,86.1441,66.3,842.7,2851.2,3907.3
2012-10-31,,92.7462,75.6,741.0,2925.9,3897.7
2012-11-30,,80.6115,95.9,568.8,3193.6,4010.5
2012-12-31,,80.9967,108.3,501.1,3554.2,4327.2
2013-01-31,,89.3,,453.8,3714.6,4341.1
2013-02-28,,65.7,,366.3,2715.2,3232.1
2013-03-31,,73.16,110.5,477.8,3527.0,4194.3
2013-04-30,,71.6,109.2,502.5,3307.6,3994.4
2013-05-31,,76.9,111.7,656.2,3256.4,4104.0
2013-06-30,,89.26,104.8,814.78,3240.09,4252.61
2013-07-31,,99.1,87.1,854.09,3750.95,4794.52
2013-08-31,,99.38,91.4,841.69,3951.08,4987.0
2013-09-30,,104.91,94.9,782.98,3323.89,4310.36
2013-10-31,,103.63,105.7,694.33,3397.31,4305.15
2013-11-30,,95.84,117.7,589.01,3585.33,4391.82
2013-12-31,,103.37,119.1,543.47,4008.46,4779.63
2014-01-31,,94.0,,492.04,3613.93,4328.15
2014-02-28,,78.84,89.7,417.62,3225.16,3833.58
2014-03-31,,92.43,113.8,534.0,3754.8,4527.7
2014-04-30,,72.63,114.1,619.7,3411.9,4250.2
2014-05-31,,104.77,137.4,740.0,3402.7,4415.9
2014-06-30,,106.31,108.5,874.6,3460.6,4580.7
2014-07-31,,118.79,102.4,1132.0,3664.0,5047.94
2014-08-31,,131.47,89.1,1178.0,3528.0,4959.0
2014-09-30,,129.43,90.8,1144.07,3146.46,4541.72
2014-10-31,,118.63,121.2,967.0,3206.0,4446.0
2014-11-30,,121.1,133.2,746.0,3455.0,4487.0
2014-12-31,,132.01,160.5,596.0,3980.0,4902.0
2015-01-31,,124.31,,565.27,4030.5,4907.01
2015-02-28,,107.08,108.24,471.76,2914.29,3653.85
2015-03-31,,122.48,153.9,676.0,3497.0,4511.0
2015-04-30,,124.3,156.8,702.0,3409.0,4450.0
2015-05-31,,136.8,157.3,767.0,3444.0,4562.0
2015-06-30,,158.2,139.7,1028.0,3363.0,4745.0
2015-07-31,,167.9,107.0,1098.0,3658.0,5090.0
2015-08-31,,168.6,104.2,1046.0,3778.0,5155.0
2015-09-30,,159.0,111.9,1075.0,3146.0,4548.0
2015-10-31,,142.3111,148.9,994.6764,3107.223,4453.546
2015-11-30,,144.5334,147.2,776.2,3531.8,4660.4
2015-12-31,,158.7979,154.7,677.0,3856.0,4910.0
2016-03-31,,173.8796,184.9,747.4156,3641.9052,4778.8429
2016-04-30,,150.0,193.9,779.0,3289.0,4444.0
2016-05-31,32.8,164.4,206.7,932.0,3300.0,4636.0
2016-06-30,33.3,179.5,173.2,1065.0,3457.0,4908.0
2016-07-31,33.1,198.1,149.9,1236.0,3889.0,5506.0
2016-08-31,36.0,201.6,135.7,1106.0,4138.0,5617.0
2016-09-30,33.7,180.0,134.6,952.0,3612.0,4913.0
2016-10-31,30.5,174.7,190.2,925.0,3555.0,4876.0
2016-11-30,30.2,194.8,208.4,803.6,3797.0,5034.1
2016-12-31,29.4,213.6,199.5,650.5,4235.8,5328.9
2017-03-31,48.5,213.9,220.4,725.2,3960.8,5168.9
2017-04-30,50.0,202.6,249.0,743.4,3521.8,4767.2
2017-05-31,55.0,204.8,249.0,886.0,3553.0,4947.0
2017-06-30,53.0,199.1,197.0,1044.0,3710.0,5203.0
2017-07-31,56.0,230.8,180.0,1246.0,4334.0,6047.0
2017-08-31,55.0,230.2,183.0,1168.0,4310.0,5945.0
2017-09-30,55.6,219.4,200.0,1121.8,3623.0,5219.6
2017-10-31,54.0,201.2,230.0,1079.0,3475.0,5038.0
2017-11-30,56.0,223.4,282.0,873.0,3762.3,5196.3
2017-12-31,53.0,221.7,271.0,736.0,4417.0,5698.6
2018-03-31,78.0,217.6,305.7,664.7,4017.4,5283.4
2018-04-30,77.0,215.8,328.4,701.8,3784.7,5107.8
2018-05-31,77.4819,236.0,284.8,923.7,3921.5,5443.3
2018-06-30,79.1666,237.0,228.4,1065.1,3940.4,5550.6
2018-07-31,77.1752,264.0,233.2,1291.3,4534.9,6400.2
2018-08-31,75.1736,269.1,187.6,1271.3,4601.7,6404.9
2018-09-30,71.0428,247.6,233.5,1143.6,3787.3,5483.1
2018-10-31,79.5087,252.0,248.1,1121.2,3629.4,5330.2
2018-11-30,70.528,279.0,263.8,879.3,4050.7,5543.0
2018-12-31,62.3791,306.0,338.2,717.5,4775.9,6199.9
2019-03-31,101.2584,286.6,341.7,808.5,4159.7,5697.9
2019-04-30,104.0014,278.0,342.9,829.1,3886.2,5440.2
2019-05-31,108.0983,272.0,353.2,1025.1,3830.6,5589.0
2019-06-30,102.917,279.7,263.3,1136.1,4051.9,5833.9
2019-07-31,107.2247,313.1,215.9,1374.3,4562.5,6573.1
2019-08-31,108.6874,328.5,222.1,1294.5,4728.5,6682.4
2019-09-30,107.821,296.7,224.7,1129.5,4149.6,5908.4
2019-10-31,96.6348,287.6,286.2,1074.2,3969.5,5714.2
2019-11-30,84.9,325.4,334.2,820.2,4325.1,5889.8
2019-12-31,84.5604,332.1,358.8,687.0,5081.7,6544.2
2020-03-31,128.8806,306.3,432.2,763.4,3894.0,5525.1
2020-04-30,134.7507,307.8,364.0,757.4,3978.8,5542.7
2020-05-31,132.7857,310.8,396.2,857.6,4234.8,5932.4
2020-06-30,124.1478,317.7,323.6,1215.3,4323.4,6304.1
2020-07-31,121.5906,334.1,282.9,1463.1,4599.5,6801.2
2020-08-31,125.7875,331.6,280.7,1409.8,5090.4,7238.3
2020-09-30,121.2203,318.7,267.2,1384.7,4223.3,6315.2
2020-10-31,116.1251,286.7,351.2,1349.3,3991.0,6094.5
2020-11-30,100.1703,322.9,377.6,916.6,4701.4,6418.7
2020-12-31,104.3081,352.8,409.2,764.1,5646.7,7277.2
2021-03-31,140.9905,342.1,473.4,669.6,4952.9,6579.0
2021-04-30,143.6231,323.7,469.5,776.1,4517.1,6230.1
2021-05-31,165.6145,342.5,506.6,955.9,4507.3,6478.4
2021-06-30,160.9517,358.8,385.9,1141.6,4813.2,6860.5
2021-07-31,162.0,382.0,380.0,1422.0,5240.0,7586.0
2021-08-31,158.8922,365.3,322.1,1370.2,5166.9,7383.5
2021-09-30,148.2591,332.4,340.3,1408.8,4521.4,6751.2
2021-10-31,135.8596,335.3,464.9,1193.7,4263.7,6393.5
2021-11-30,141.9184,336.2,516.2,901.0,4645.0,6540.4
2021-12-31,141.8389,372.8,571.2,715.1,5432.8,7233.7
2022-03-31,186.4825,349.8,672.6,805.2,4687.7,6701.7
2022-04-30,205.4837,326.7,627.8,917.9,4007.7,6085.7
2022-05-31,206.6928,346.9,594.6,1217.0,4045.1,6410.2
2022-06-30,205.5882,326.6,524.3,1481.2,4552.6,7090.3
2022-07-31,210.8024,369.7,456.4,1462.6,5559.6,8059.2
2022-08-31,206.3579,363.2,462.6,1226.5,5989.3,8248.0
2022-09-30,201.7567,323.5,476.1,989.9,4838.7,6830.0
2022-10-31,189.965,360.1,613.3,993.5,4453.1,6610.0
2022-11-30,157.5236,373.6,602.0,779.5,4754.1,6666.7
2022-12-31,161.6463,397.3,723.0,747.1,5549.5,7578.5
2023-03-31,242.939,365.7093,734.7728,683.515,5145.9313,7172.9246
2023-04-30,230.8735,345.2,829.3,683.6,4494.4,6583.5
2023-05-31,240.5908,368.9,743.6,820.2,4712.5,6885.8
2023-06-30,259.3309,371.567,557.4688,982.1228,5228.468,7399.0226
2023-07-31,258.8993,380.4,613.7,1211.3,5997.4,8461.7
2023-08-31,269.1915,383.2884,440.6099,1466.1972,5890.5417,8449.9458
2023-09-30,246.0629,345.3,497.7,1393.8,4973.0,7456.1
2023-10-31,244.3102,359.4,563.1,1222.5,4654.1,7043.5
2023-11-30,235.0,365.0,804.0,830.0,5077.0,7310.0
2023-12-31,210.5356,380.6425,814.2013,775.0496,6109.1423,8289.7617
2024-03-31,311.0979,348.1,905.0,712.0,5200.7,7476.9
2024-04-30,314.0026,365.7,807.6,834.8,4578.7,6900.8
2024-05-31,358.6653,360.1,771.5,1149.9,4538.4,7178.5
2024-06-30,352.2858,356.5,668.6,1437.6,4870.1,7685.2
2024-07-31,359.7271,396.7,660.9,1664.5,5749.2,8831.1

数据来源：Wind

























































































































































