指标名称,中国:全社会用电量:第一产业:当月值,中国:全社会用电量:第三产业:当月值,中国:全社会用电量:第二产业:当月值,中国:全社会用电量:当月值,中国:发电新增设备容量:太阳能:累计值,中国:规模以上工业增加值:电力、热力的生产和供应业:当月同比,中国:用电量:电力、燃气及水的生产和供应业:当月值,中国:产成品存货:电力、热力生产和供应业,中国:产成品存货:电力、热力生产和供应业:同比,中国:存货:电力、热力生产和供应业:同比,中国:消费量:动力煤:电力行业:当月值
2014-04-30,800887.0,4831754.0,3.2652791E7,4.3562732E7,40.6,2.5,4927048.0,409926.0,-19.4882,0.0,15350.0
2014-05-31,832425.0,4749075.0,3.4446156E7,4.4920395E7,62.0,3.5,6393733.0,442360.4,-11.3527,4.0,15310.0
2014-06-30,984706.0,5471180.0,3.4821201E7,4.6385023E7,94.0,3.4,6125062.0,421938.0,-10.3263,5.9,15579.0
2014-07-31,1211911.0,6162865.0,3.7688196E7,5.0969616E7,104.0,0.9,8537844.0,417209.0,-15.3599,9.3,16491.0
2014-08-31,1303976.0,6620460.0,3.516965E7,5.0253374E7,124.0,-1.7,6198560.0,454547.1,-11.5031,15.2,16491.0
2014-09-30,968977.0,6116163.0,3.2213013E7,4.5697348E7,166.01,1.6,4376882.0,463593.2,25.7964,11.8,14154.0
2014-10-31,688430.0,5296035.0,3.3686989E7,4.5083995E7,196.35,2.0,6234954.0,481709.4,28.5217,14.0,14431.0
2014-11-30,717052.0,5164488.0,3.5311885E7,4.6322373E7,221.1,2.0,6900859.0,453460.7,11.5527,12.0,16938.0
2014-12-31,693885.0,5886182.0,3.9062468E7,5.116926E7,825.098,2.3,,423507.1,15.4752,11.2,19515.0
2015-01-31,610000.0,6490000.0,3.499E7,4.859E7,,,6694071.0,,,,17813.72
2015-02-28,490000.0,5350000.0,2.401E7,3.595E7,206.0,,2409165.566,463333.5,20.8705,6.9,12881.03
2015-03-31,608764.768,5646374.86,3.176850291E7,4.447754461E7,346.005,-2.6,8375893.982,487180.4,26.6218,1.1,15463.0
2015-04-30,767264.5936,5380196.346,3.225546898E7,4.41535771E7,382.08,0.7,5010404.869,482678.1,19.2727,-4.0,15116.0
2015-05-31,871966.3395,5226446.353,3.424230571E7,4.567227865E7,426.54,1.4,6334307.703,531728.7,22.5173,-5.5,15477.0
2015-06-30,1057153.001,5851945.697,3.502477617E7,4.723035897E7,512.11,1.4,6361657.176,557327.4,34.4465,-4.9,15156.0
2015-07-31,1297015.796,6440636.896,3.647016127E7,5.034360916E7,573.95,-0.9,8439745.759,512549.3,30.0409,-3.9,16596.0
2015-08-31,1334165.205,7147451.644,3.543416477E7,5.123853605E7,641.58,1.5,6713947.506,496955.8,14.6618,-6.0,17194.0
2015-09-30,1019745.528,6499240.375,3.127968956E7,4.563433363E7,682.66,-0.1,4194971.858,521859.9,17.8521,-6.9,14311.0
2015-10-31,733740.1922,5539282.5303,3.29821105767E7,4.49140544154E7,730.7,-1.4,6542182.824,446122.3,-3.8661,-10.3,14178.25
2015-11-30,736448.0654,5658992.434,3.47146287767E7,4.6576394854E7,826.72,1.2,7220121.756,576000.0,23.6,-11.1,16023.87
2015-12-31,673500.157,6335405.74,3.71552005E7,5.00675526E7,1281.6738,-1.7,,513000.0,28.3,-9.3,17439.0
