,SN.LME_open,SN.LME_high,SN.LME_low,SN.LME_close,SN.LME_volume
2015-07-14,14660.0,14725.0,14400.0,14575.0,207.0
2015-07-15,14600.0,14825.0,14535.0,14650.0,265.0
2015-07-16,14680.0,15105.0,14670.0,15050.0,485.0
2015-07-17,15025.0,15800.0,15025.0,15750.0,746.0
2015-07-20,15800.0,15800.0,15365.0,15525.0,337.0
2015-07-21,15500.0,15600.0,15300.0,15300.0,273.0
2015-07-22,15250.0,15250.0,14600.0,14750.0,297.0
2015-07-23,14650.0,15050.0,14650.0,14950.0,248.0
2015-07-24,14950.0,15500.0,14850.0,15445.0,551.0
2015-07-27,15480.0,15645.0,15210.0,15600.0,349.0
2015-07-28,15660.0,16280.0,15660.0,16265.0,796.0
2015-07-29,16280.0,16345.0,16145.0,16170.0,407.0
2015-07-30,16155.0,16250.0,15880.0,16180.0,343.0
2015-07-31,16160.0,16600.0,16015.0,16200.0,431.0
2015-08-03,16200.0,16300.0,15900.0,15980.0,296.0
2015-08-04,15950.0,16115.0,15675.0,15700.0,221.0
2015-08-05,15700.0,15815.0,15180.0,15450.0,332.0
2015-08-06,15400.0,15500.0,15300.0,15450.0,187.0
2015-08-07,15465.0,15465.0,15200.0,15200.0,258.0
2015-08-10,15250.0,15880.0,14865.0,15700.0,374.0
2015-08-11,15780.0,15780.0,15180.0,15250.0,194.0
2015-08-12,15445.0,15450.0,14770.0,15105.0,369.0
2015-08-13,15200.0,15200.0,14905.0,15050.0,142.0
2015-08-14,15000.0,15600.0,14960.0,15425.0,362.0
2015-08-17,15280.0,15620.0,15200.0,15510.0,182.0
2015-08-18,15475.0,15700.0,15150.0,15160.0,325.0
2015-08-19,15140.0,15500.0,15140.0,15425.0,404.0
2015-08-20,15345.0,15575.0,15240.0,15295.0,279.0
2015-08-21,15225.0,15450.0,14830.0,14870.0,440.0
2015-08-24,14820.0,15000.0,14000.0,14055.0,696.0
2015-08-25,14135.0,14400.0,14100.0,14100.0,324.0
2015-08-26,14185.0,14200.0,13670.0,13700.0,464.0
2015-08-27,13800.0,14135.0,13600.0,13900.0,406.0
2015-08-28,13895.0,14360.0,13700.0,14050.0,281.0
2015-08-31,,,,14050.0,
2015-09-01,14000.0,14800.0,13800.0,14700.0,277.0
2015-09-02,14750.0,15250.0,14680.0,15200.0,298.0
2015-09-07,15040.0,15100.0,14850.0,14950.0,82.0
2015-09-08,14920.0,15160.0,14825.0,14930.0,181.0
2015-09-09,14855.0,15200.0,14855.0,14950.0,219.0
2015-09-10,15000.0,15360.0,14985.0,15300.0,199.0
2015-09-11,15300.0,15520.0,15195.0,15480.0,259.0
2015-09-14,15330.0,15600.0,15300.0,15570.0,316.0
2015-09-15,15535.0,15645.0,15455.0,15570.0,211.0
2015-09-16,15600.0,15760.0,15595.0,15675.0,211.0
2015-09-17,15650.0,15730.0,15400.0,15400.0,101.0
2015-09-18,15350.0,15350.0,14850.0,15170.0,328.0
2015-09-21,15395.0,15400.0,14950.0,14950.0,68.0
2015-09-22,15000.0,15045.0,14560.0,14715.0,249.0
2015-09-23,14850.0,15100.0,14800.0,14930.0,206.0
2015-09-24,15050.0,15250.0,14900.0,15250.0,189.0
2015-09-25,15250.0,15355.0,15005.0,15185.0,257.0
2015-09-28,15180.0,15605.0,15090.0,15505.0,282.0
2015-09-29,15435.0,15735.0,15380.0,15400.0,319.0
2015-09-30,15520.0,15700.0,15300.0,15500.0,268.0
2015-10-08,15970.0,16050.0,15790.0,15850.0,202.0
2015-10-09,15900.0,16440.0,15805.0,16000.0,556.0
2015-10-12,16000.0,16190.0,15900.0,15900.0,168.0
2015-10-13,15965.0,15965.0,15645.0,15645.0,224.0
2015-10-14,15650.0,16175.0,15600.0,16050.0,282.0
2015-10-15,16055.0,16250.0,15905.0,15905.0,241.0
2015-10-16,16100.0,16100.0,15900.0,15905.0,74.0
2015-10-19,15950.0,15950.0,15800.0,15950.0,152.0
2015-10-20,15900.0,16060.0,15860.0,15965.0,229.0
2015-10-21,15900.0,15970.0,15735.0,15875.0,183.0
2015-10-22,15945.0,16000.0,15810.0,15850.0,162.0
2015-10-23,15850.0,16050.0,15690.0,15690.0,217.0
2015-10-26,15620.0,15760.0,15430.0,15495.0,273.0
2015-10-27,15435.0,15595.0,15350.0,15350.0,198.0
2015-10-28,15415.0,15420.0,15100.0,15210.0,402.0
2015-10-29,15285.0,15350.0,14760.0,14955.0,468.0
2015-10-30,15145.0,15180.0,14780.0,14950.0,294.0
2015-11-02,15000.0,15000.0,14760.0,14925.0,199.0
2015-11-03,14950.0,15025.0,14525.0,14750.0,357.0
2015-11-04,14895.0,14925.0,14775.0,14895.0,110.0
2015-11-05,14870.0,14885.0,14515.0,14555.0,268.0
2015-11-06,14665.0,14700.0,14500.0,14555.0,156.0
2015-11-09,14660.0,14685.0,14460.0,14505.0,174.0
2015-11-10,14460.0,14790.0,14450.0,14655.0,126.0
2015-11-11,14660.0,14885.0,14585.0,14770.0,166.0
2015-11-12,14685.0,14980.0,14500.0,14560.0,258.0
2015-11-13,14600.0,14790.0,14530.0,14790.0,76.0
2015-11-16,14685.0,14850.0,14625.0,14680.0,191.0
2015-11-17,14660.0,14775.0,14525.0,14570.0,404.0
2015-11-18,14680.0,14745.0,14575.0,14575.0,105.0
2015-11-19,14570.0,14625.0,14195.0,14600.0,294.0
2015-11-20,14650.0,14735.0,14460.0,14630.0,172.0
2015-11-23,14535.0,14555.0,14330.0,14385.0,220.0
2015-11-24,14370.0,14450.0,14020.0,14375.0,359.0
2015-11-25,14405.0,14765.0,14350.0,14720.0,282.0
2015-11-26,14765.0,15030.0,14655.0,14950.0,664.0
2015-11-27,14970.0,15010.0,14800.0,14980.0,298.0
2015-11-30,14940.0,15045.0,14700.0,15000.0,288.0
2015-12-01,14930.0,15120.0,14750.0,15010.0,351.0
2015-12-02,15015.0,15200.0,14900.0,14920.0,376.0
2015-12-03,14925.0,14950.0,14700.0,14795.0,265.0
2015-12-04,14700.0,15100.0,14650.0,14780.0,236.0
2015-12-07,14945.0,14950.0,14580.0,14635.0,207.0
2015-12-08,14670.0,14695.0,14350.0,14415.0,254.0
2015-12-09,14450.0,14680.0,14360.0,14540.0,229.0
2015-12-10,14690.0,14690.0,14425.0,14550.0,130.0
2015-12-11,14555.0,14555.0,14555.0,14555.0,239.0
2015-12-14,14650.0,14745.0,14505.0,14610.0,143.0
2015-12-15,14675.0,14775.0,14540.0,14555.0,219.0
2015-12-16,14570.0,14775.0,14485.0,14650.0,267.0
2015-12-17,14650.0,14825.0,14550.0,14590.0,271.0
2015-12-18,14660.0,14720.0,14575.0,14605.0,137.0
2015-12-21,14600.0,14750.0,14550.0,14615.0,205.0
2015-12-22,14615.0,14750.0,14590.0,14685.0,138.0
2015-12-23,14645.0,14695.0,14600.0,14605.0,104.0
2015-12-24,14620.0,14680.0,14530.0,14540.0,119.0
2015-12-25,,,,14540.0,
2015-12-28,,,,14540.0,
2015-12-29,14530.0,14750.0,14470.0,14735.0,339.0
2015-12-30,14640.0,14740.0,14520.0,14545.0,163.0
2015-12-31,14650.0,14650.0,14420.0,14565.0,148.0
2016-01-04,14570.0,14570.0,14360.0,14430.0,185.0
2016-01-05,14480.0,14495.0,14120.0,14210.0,329.0
2016-01-06,14245.0,14245.0,13650.0,13785.0,653.0
2016-01-07,13770.0,13815.0,13560.0,13690.0,415.0
2016-01-08,13690.0,13985.0,13690.0,13710.0,228.0
2016-01-11,13700.0,13815.0,13605.0,13605.0,148.0
2016-01-12,13625.0,13625.0,13140.0,13350.0,431.0
2016-01-13,13435.0,13510.0,13155.0,13300.0,279.0
2016-01-14,13250.0,13350.0,13085.0,13325.0,121.0
2016-01-15,13300.0,13360.0,13145.0,13300.0,177.0
2016-01-18,13200.0,13345.0,13180.0,13300.0,116.0
2016-01-19,13330.0,13480.0,13225.0,13255.0,237.0
2016-01-20,13290.0,13495.0,13160.0,13380.0,340.0
2016-01-21,13400.0,13635.0,13345.0,13580.0,292.0
2016-01-22,13585.0,13675.0,13545.0,13645.0,166.0
2016-01-25,13640.0,13685.0,13555.0,13600.0,120.0
2016-01-26,13650.0,14150.0,13650.0,14010.0,510.0
2016-01-27,14005.0,14615.0,13900.0,14400.0,593.0
2016-01-28,14405.0,14405.0,13925.0,14060.0,358.0
2016-01-29,14195.0,15010.0,14055.0,14700.0,636.0
2016-02-01,14700.0,14925.0,14640.0,14820.0,443.0
2016-02-02,14800.0,14950.0,14600.0,14660.0,311.0
2016-02-03,14650.0,14920.0,14550.0,14855.0,252.0
2016-02-04,14875.0,15150.0,14750.0,14980.0,352.0
2016-02-05,14975.0,15245.0,14900.0,15075.0,436.0
2016-02-15,15350.0,15480.0,15250.0,15320.0,205.0
2016-02-16,15200.0,15440.0,15160.0,15330.0,152.0
2016-02-17,15305.0,15800.0,15210.0,15665.0,512.0
2016-02-18,15460.0,15810.0,15450.0,15575.0,231.0
2016-02-19,15710.0,15850.0,15630.0,15725.0,193.0
2016-02-22,15780.0,16010.0,15700.0,15700.0,374.0
2016-02-23,15780.0,16200.0,15700.0,15920.0,528.0
2016-02-24,15900.0,16145.0,15850.0,15915.0,281.0
2016-02-25,15905.0,16125.0,15895.0,15895.0,259.0
2016-02-26,15970.0,16100.0,15895.0,15905.0,332.0
2016-02-29,15905.0,16115.0,15760.0,15850.0,285.0
2016-03-01,15820.0,16045.0,15800.0,16045.0,300.0
2016-03-02,16070.0,16300.0,16055.0,16215.0,399.0
2016-03-03,16270.0,16580.0,16180.0,16425.0,429.0
2016-03-04,16550.0,17080.0,16370.0,16950.0,701.0
2016-03-07,16950.0,17330.0,16850.0,17280.0,509.0
2016-03-08,17180.0,17210.0,16200.0,16475.0,486.0
2016-03-09,16685.0,16800.0,16480.0,16705.0,737.0
2016-03-10,16675.0,16850.0,16655.0,16700.0,140.0
2016-03-11,16700.0,16930.0,16640.0,16775.0,117.0
2016-03-14,16870.0,17010.0,16855.0,16885.0,128.0
2016-03-15,16870.0,16870.0,16750.0,16870.0,349.0
2016-03-16,16800.0,16885.0,16645.0,16705.0,168.0
2016-03-17,16795.0,17080.0,16795.0,17040.0,216.0
2016-03-18,17085.0,17150.0,16790.0,16865.0,126.0
2016-03-21,16850.0,16945.0,16770.0,16875.0,101.0
2016-03-22,16850.0,17115.0,16765.0,17000.0,229.0
2016-03-23,17050.0,17500.0,17000.0,17270.0,299.0
2016-03-24,17275.0,17525.0,17160.0,17295.0,218.0
2016-03-25,,,,17295.0,
2016-03-28,,,,17295.0,
2016-03-29,17065.0,17230.0,17015.0,17025.0,103.0
2016-03-30,16800.0,16905.0,16700.0,16870.0,387.0
2016-03-31,16815.0,16840.0,16600.0,16600.0,339.0
2016-04-01,16660.0,16765.0,16300.0,16680.0,424.0
2016-04-05,16625.0,16625.0,16300.0,16365.0,358.0
2016-04-06,16430.0,16500.0,16310.0,16480.0,274.0
2016-04-07,16610.0,16750.0,16380.0,16650.0,284.0
2016-04-08,16695.0,16850.0,16650.0,16800.0,214.0
2016-04-11,16850.0,16950.0,16715.0,16725.0,123.0
2016-04-12,16735.0,16900.0,16735.0,16800.0,187.0
2016-04-13,16835.0,17145.0,16835.0,17065.0,285.0
2016-04-14,16970.0,17250.0,16970.0,17065.0,244.0
2016-04-15,17145.0,17240.0,17075.0,17115.0,171.0
2016-04-18,17150.0,17195.0,16935.0,16960.0,319.0
2016-04-19,17000.0,17190.0,17000.0,17170.0,173.0
2016-04-20,17190.0,17355.0,17065.0,17200.0,299.0
2016-04-21,17090.0,17460.0,17090.0,17140.0,353.0
2016-04-22,17125.0,17450.0,17125.0,17355.0,281.0
2016-04-25,17265.0,17440.0,17200.0,17340.0,219.0
2016-04-26,17305.0,17435.0,17255.0,17355.0,165.0
2016-04-27,17390.0,17410.0,16975.0,17085.0,383.0
2016-04-28,17140.0,17185.0,16800.0,17105.0,297.0
2016-04-29,17130.0,17380.0,17100.0,17230.0,202.0
2016-05-03,17200.0,17380.0,17115.0,17300.0,259.0
2016-05-04,17300.0,17440.0,17275.0,17380.0,180.0
2016-05-05,17380.0,17440.0,17270.0,17340.0,198.0
2016-05-06,17300.0,17480.0,17270.0,17415.0,351.0
2016-05-09,17420.0,17420.0,17280.0,17285.0,20.0
2016-05-10,17115.0,17215.0,17070.0,17140.0,189.0
2016-05-11,17230.0,17340.0,17170.0,17235.0,218.0
2016-05-12,17350.0,17450.0,16600.0,16675.0,845.0
2016-05-13,16775.0,16855.0,16720.0,16795.0,383.0
2016-05-16,16680.0,16800.0,16665.0,16720.0,272.0
2016-05-17,16910.0,17070.0,16840.0,16980.0,246.0
2016-05-18,16970.0,16975.0,16715.0,16790.0,228.0
2016-05-19,16775.0,16785.0,16490.0,16535.0,468.0
2016-05-20,16560.0,16585.0,16520.0,16525.0,337.0
2016-05-23,16470.0,16470.0,15900.0,16050.0,662.0
2016-05-24,16060.0,16090.0,15600.0,15665.0,497.0
2016-05-25,15750.0,15800.0,15425.0,15645.0,428.0
2016-05-26,15640.0,15845.0,15550.0,15760.0,333.0
2016-05-27,15790.0,16260.0,15790.0,16155.0,305.0
2016-05-30,,,,16155.0,
