,NI.LME_open,NI.LME_high,NI.LME_low,NI.LME_close,NI.LME_volume
2018-07-30,13810.0,13895.0,13660.0,13895.0,4111.0
2018-07-31,13865.0,14120.0,13800.0,14065.0,7049.0
2018-08-01,14000.0,14070.0,13360.0,13390.0,10051.0
2018-08-02,13405.0,13570.0,13275.0,13350.0,11470.0
2018-08-03,13330.0,13560.0,13080.0,13510.0,11433.0
2018-08-06,13500.0,13725.0,13305.0,13685.0,7362.0
2018-08-07,13725.0,13920.0,13600.0,13875.0,8110.0
2018-08-08,13885.0,14055.0,13845.0,14040.0,7414.0
2018-08-09,14015.0,14145.0,13845.0,13880.0,6883.0
2018-08-10,13870.0,13990.0,13625.0,13805.0,8111.0
2018-08-13,13790.0,13895.0,13475.0,13535.0,7914.0
2018-08-14,13570.0,13605.0,13380.0,13425.0,9831.0
2018-08-15,13415.0,13465.0,12770.0,12880.0,15856.0
2018-08-16,12900.0,13465.0,12835.0,13340.0,11713.0
2018-08-17,13335.0,13630.0,13195.0,13555.0,7650.0
2018-08-20,13625.0,13840.0,13490.0,13615.0,6874.0
2018-08-21,13690.0,13775.0,13510.0,13560.0,6783.0
2018-08-22,13540.0,13730.0,13455.0,13580.0,8063.0
2018-08-23,13560.0,13560.0,13185.0,13240.0,8594.0
2018-08-24,13240.0,13480.0,13225.0,13420.0,8424.0
2018-08-27,,,,13420.0,
2018-08-28,13435.0,13680.0,13310.0,13635.0,10175.0
2018-08-29,13610.0,13660.0,13435.0,13450.0,7263.0
2018-08-30,13460.0,13565.0,13210.0,13310.0,9401.0
2018-08-31,13260.0,13350.0,12775.0,12810.0,14199.0
2018-09-03,12815.0,12855.0,12695.0,12795.0,6754.0
2018-09-04,12760.0,12805.0,12375.0,12490.0,13366.0
2018-09-05,12510.0,12630.0,12360.0,12475.0,9940.0
2018-09-06,12485.0,12595.0,12390.0,12470.0,7251.0
2018-09-07,12470.0,12550.0,12225.0,12335.0,8099.0
2018-09-10,12300.0,12500.0,12255.0,12410.0,7633.0
2018-09-11,12425.0,12445.0,12165.0,12215.0,7920.0
2018-09-12,12240.0,12655.0,12085.0,12630.0,12307.0
2018-09-13,12635.0,12780.0,12560.0,12595.0,9197.0
2018-09-14,12605.0,12705.0,12400.0,12415.0,6469.0
2018-09-17,12420.0,12435.0,12250.0,12275.0,8837.0
2018-09-18,12250.0,12465.0,12130.0,12360.0,8028.0
2018-09-19,12385.0,12620.0,12310.0,12490.0,8301.0
2018-09-20,12510.0,12690.0,12450.0,12650.0,5667.0
2018-09-21,12685.0,13300.0,12685.0,13275.0,12783.0
2018-09-25,12840.0,13020.0,12750.0,12955.0,8351.0
2018-09-26,12945.0,13075.0,12780.0,12820.0,6957.0
2018-09-27,12825.0,12900.0,12505.0,12550.0,7076.0
2018-09-28,12580.0,12795.0,12520.0,12545.0,5722.0
2018-10-08,12640.0,12675.0,12410.0,12665.0,5783.0
2018-10-09,12660.0,13020.0,12595.0,12970.0,7814.0
2018-10-10,13000.0,13015.0,12685.0,12700.0,7354.0
2018-10-11,12645.0,12780.0,12385.0,12705.0,10337.0
2018-10-12,12630.0,12875.0,12610.0,12685.0,6085.0
2018-10-15,12705.0,12815.0,12550.0,12585.0,7211.0
2018-10-16,12595.0,12630.0,12395.0,12535.0,9400.0
2018-10-17,12520.0,12615.0,12330.0,12355.0,8360.0
2018-10-18,12375.0,12420.0,12200.0,12295.0,7493.0
2018-10-19,12325.0,12625.0,12325.0,12475.0,7482.0
2018-10-22,12510.0,12725.0,12455.0,12460.0,7455.0
2018-10-23,12450.0,12545.0,12355.0,12395.0,5066.0
2018-10-24,12420.0,12535.0,12200.0,12215.0,7885.0
2018-10-25,12215.0,12335.0,12080.0,12185.0,10203.0
2018-10-26,12180.0,12180.0,11810.0,11880.0,11408.0
2018-10-29,11905.0,11945.0,11700.0,11740.0,6527.0
2018-10-30,11745.0,11855.0,11705.0,11765.0,7270.0
2018-10-31,11765.0,11795.0,11500.0,11540.0,8367.0
2018-11-01,11555.0,11915.0,11495.0,11830.0,10922.0
2018-11-02,11860.0,12160.0,11770.0,11935.0,11394.0
2018-11-05,11940.0,11960.0,11690.0,11740.0,6250.0
2018-11-06,11740.0,11920.0,11730.0,11795.0,7167.0
2018-11-07,11830.0,11920.0,11625.0,11770.0,7747.0
2018-11-08,11755.0,11815.0,11585.0,11765.0,7572.0
2018-11-09,11750.0,11765.0,11400.0,11415.0,7784.0
2018-11-12,11400.0,11445.0,11310.0,11345.0,5649.0
2018-11-13,11330.0,11570.0,11255.0,11325.0,7973.0
2018-11-14,11345.0,11360.0,11240.0,11305.0,5096.0
2018-11-15,11315.0,11555.0,11270.0,11325.0,7926.0
2018-11-16,11320.0,11485.0,11280.0,11395.0,7257.0
2018-11-19,11395.0,11410.0,11175.0,11190.0,5902.0
2018-11-20,11195.0,11340.0,11050.0,11085.0,8807.0
2018-11-21,11080.0,11160.0,11010.0,11030.0,6987.0
2018-11-22,11035.0,11090.0,10950.0,10960.0,6248.0
2018-11-23,10955.0,10955.0,10735.0,10875.0,12440.0
2018-11-26,10885.0,10890.0,10735.0,10880.0,5520.0
2018-11-27,10870.0,10885.0,10720.0,10740.0,5203.0
2018-11-28,10755.0,10920.0,10740.0,10865.0,4843.0
2018-11-29,10865.0,11070.0,10790.0,11010.0,7568.0
2018-11-30,11010.0,11200.0,10945.0,11095.0,8510.0
2018-12-03,11290.0,11440.0,11125.0,11195.0,11038.0
2018-12-04,11195.0,11415.0,11080.0,11130.0,9791.0
2018-12-05,11105.0,11235.0,11050.0,11220.0,5955.0
2018-12-06,11190.0,11200.0,10760.0,10860.0,8107.0
2018-12-07,10860.0,11000.0,10830.0,10955.0,5264.0
2018-12-10,10920.0,10940.0,10770.0,10785.0,5247.0
2018-12-11,10790.0,10945.0,10725.0,10745.0,6464.0
2018-12-12,10775.0,10845.0,10755.0,10785.0,4928.0
2018-12-13,10795.0,10945.0,10725.0,10850.0,5304.0
2018-12-14,10845.0,11055.0,10755.0,11040.0,6101.0
2018-12-17,11015.0,11115.0,10970.0,10995.0,6437.0
2018-12-18,10995.0,11080.0,10775.0,10840.0,8010.0
2018-12-19,10840.0,11015.0,10810.0,10980.0,4653.0
2018-12-20,10950.0,11000.0,10815.0,10955.0,5992.0
2018-12-21,10955.0,10980.0,10840.0,10875.0,5924.0
2018-12-24,10885.0,10980.0,10860.0,10875.0,2835.0
2018-12-25,,,,10875.0,
2018-12-26,,,,10875.0,
2018-12-27,10780.0,10780.0,10700.0,10720.0,7437.0
2018-12-28,10750.0,10770.0,10635.0,10740.0,4658.0
2019-01-02,10670.0,10860.0,10530.0,10825.0,10259.0
2019-01-03,10760.0,10930.0,10675.0,10880.0,8173.0
2019-01-04,10840.0,11165.0,10825.0,11125.0,9875.0
2019-01-07,11120.0,11195.0,11080.0,11150.0,5831.0
2019-01-08,11145.0,11265.0,11040.0,11205.0,7045.0
2019-01-09,11260.0,11330.0,11175.0,11250.0,6337.0
2019-01-10,11255.0,11315.0,11160.0,11230.0,5498.0
2019-01-11,11230.0,11515.0,11200.0,11460.0,9742.0
2019-01-14,11440.0,11510.0,11335.0,11405.0,6509.0
2019-01-15,11405.0,11685.0,11390.0,11605.0,7495.0
2019-01-16,11605.0,11770.0,11580.0,11605.0,7719.0
2019-01-17,11600.0,11670.0,11455.0,11585.0,7592.0
2019-01-18,11615.0,11855.0,11595.0,11810.0,6180.0
2019-01-21,11805.0,11885.0,11725.0,11810.0,4792.0
2019-01-22,11825.0,11835.0,11550.0,11595.0,7201.0
2019-01-23,11590.0,11725.0,11580.0,11695.0,5352.0
2019-01-24,11705.0,11790.0,11590.0,11750.0,5237.0
2019-01-25,11760.0,11990.0,11750.0,11950.0,6056.0
2019-01-28,11955.0,12020.0,11825.0,11845.0,5548.0
2019-01-29,11845.0,12200.0,11755.0,12145.0,9921.0
2019-01-30,12150.0,12455.0,12145.0,12350.0,9782.0
2019-01-31,12380.0,12515.0,12325.0,12475.0,6803.0
2019-02-01,12465.0,12700.0,12310.0,12670.0,6322.0
2019-02-11,12570.0,12730.0,12415.0,12470.0,7894.0
2019-02-12,12465.0,12575.0,12210.0,12390.0,8653.0
2019-02-13,12375.0,12460.0,12300.0,12400.0,5577.0
2019-02-14,12400.0,12475.0,12145.0,12195.0,7282.0
2019-02-15,12195.0,12425.0,12080.0,12415.0,8057.0
2019-02-18,12410.0,12530.0,12290.0,12465.0,5564.0
2019-02-19,12460.0,12680.0,12385.0,12665.0,7428.0
2019-02-20,12665.0,12950.0,12665.0,12910.0,10147.0
2019-02-21,12890.0,12940.0,12775.0,12845.0,6258.0
2019-02-22,12850.0,13100.0,12785.0,12990.0,6955.0
2019-02-25,13035.0,13175.0,12875.0,12970.0,9017.0
2019-02-26,12965.0,13000.0,12850.0,12935.0,13637.0
2019-02-27,12940.0,13110.0,12845.0,13060.0,8082.0
2019-02-28,13065.0,13165.0,13025.0,13065.0,6707.0
2019-03-01,13065.0,13400.0,12995.0,13175.0,11997.0
2019-03-04,13215.0,13485.0,13175.0,13280.0,9888.0
2019-03-05,13280.0,13725.0,13265.0,13650.0,11006.0
2019-03-06,13645.0,13765.0,13565.0,13635.0,7367.0
2019-03-07,13640.0,13675.0,13115.0,13220.0,11009.0
2019-03-08,13205.0,13235.0,13060.0,13080.0,6582.0
2019-03-11,13080.0,13175.0,12880.0,12915.0,8896.0
2019-03-12,12930.0,13260.0,12925.0,13120.0,9103.0
2019-03-13,13135.0,13230.0,12910.0,13185.0,8442.0
