指标名称,光伏行业综合价格指数(SPI),光伏行业综合价格指数(SPI):多晶硅,光伏行业综合价格指数(SPI):硅片,光伏经理人指数(SMI):全行业
2022-09-13,61.39,190.09,58.69,183.340621
2022-09-19,61.39,190.09,58.69,177.504772
2022-09-26,61.39,190.09,58.69,182.050016
2022-10-10,61.64,190.09,58.69,176.03
2022-10-17,61.64,190.09,58.69,182.295836
2022-10-24,61.64,190.09,58.69,182.552963
2022-10-31,61.75,190.09,58.69,190.36321
2022-11-07,63.84,190.09,66.77,193.793814
2022-11-14,63.77,189.94,66.51,181.318988
2022-11-21,63.72,189.63,66.4,179.35
2022-11-28,63.63,189.63,66.05,177.847781
2022-12-05,62.99,187.62,64.34,168.529302
2022-12-12,62.54,185.76,64.01,165.817005
2022-12-19,58.92,170.28,58.05,161.790811
2023-01-03,50.73,130.03,52.1,166.577771
2023-01-09,43.03,111.46,41.48,169.506193
2023-01-16,42.09,105.26,41.04,167.188532
2023-01-30,45.73,105.26,52.18,168.79389
2023-02-06,50.08,136.22,55.49,166.335816
2023-02-13,56.96,151.7,70.69,165.898089
2023-02-20,56.76,151.7,70.69,163.656381
2023-02-27,56.76,151.7,70.69,168.938241
2023-03-06,55.84,145.51,70.69,166.411942
2023-03-13,55.87,143.65,71.92,165.527191
2023-03-20,55.41,139.32,71.92,157.694756
2023-03-27,55.06,136.22,71.92,158.264541
2023-04-03,54.38,131.27,71.92,157.139366
2023-04-10,53.97,126.93,72.15,151.859972
2023-04-17,53.5,122.6,72.15,149.042434
2023-04-24,53.31,121.36,71.87,149.042498
2023-05-15,47.83,94.12,63.87,148.333559
2023-05-22,45.47,89.78,58.41,148.814973
2023-05-29,42.39,82.35,51.79,149.904047
2023-06-05,39.54,73.07,48.92,145.019706
2023-06-12,36.44,60.68,44.68,146.434281
2023-06-19,31.66,48.3,36.29,150.184451
2023-06-26,28.36,42.11,31.44,154.19891
2023-07-03,28.0,42.11,31.44,157.224874
2023-07-10,28.03,42.11,31.44,152.83
2023-07-17,27.98,42.11,31.99,148.104634
2023-07-24,28.37,43.34,32.58,143.86563
2023-07-31,28.41,43.96,32.58,142.7
2023-08-07,28.47,44.58,33.13,141.022689
2023-08-14,28.98,45.2,35.0,141.576213
2023-08-21,29.03,45.82,35.06,139.37
2023-08-28,29.49,47.68,36.16,139.878531
2023-09-04,29.99,50.77,36.35,138.516493
2023-09-11,30.02,52.01,36.35,136.478426
2023-09-18,29.93,52.63,36.35,135.228231
2023-09-25,29.37,52.63,35.95,131.250668
2023-10-09,27.9,52.63,32.5,134.8953
2023-10-16,26.11,52.01,28.36,132.16
2023-10-23,25.67,52.01,27.92,129.637758
2023-10-30,23.06,45.82,24.73,127.636861
2023-11-06,21.19,40.25,22.66,126.722346
2023-11-13,21.01,40.25,22.66,128.947286
2023-11-20,20.64,39.01,22.58,128.417824
