,RU.SHF_open,RU.SHF_high,RU.SHF_low,RU.SHF_close,RU.SHF_volume
2017-06-20,12680.0,12815.0,12370.0,12630.0,591338.0
2017-06-21,12510.0,12620.0,12410.0,12565.0,477884.0
2017-06-22,12630.0,12825.0,12350.0,12410.0,635878.0
2017-06-23,12430.0,12735.0,12400.0,12670.0,566676.0
2017-06-26,12710.0,12820.0,12530.0,12730.0,452040.0
2017-06-27,12685.0,12960.0,12650.0,12955.0,517804.0
2017-06-28,13000.0,13200.0,12910.0,13080.0,591554.0
2017-06-29,13055.0,13680.0,12970.0,13500.0,883624.0
2017-06-30,13520.0,13550.0,13210.0,13335.0,545024.0
2017-07-03,13340.0,13570.0,13335.0,13500.0,513074.0
2017-07-04,13510.0,13560.0,12625.0,12715.0,788708.0
2017-07-05,12750.0,12925.0,12730.0,12830.0,498180.0
2017-07-06,12765.0,12935.0,12635.0,12900.0,526846.0
2017-07-07,12900.0,13045.0,12690.0,12885.0,555216.0
2017-07-10,12820.0,12945.0,12520.0,12690.0,698240.0
2017-07-11,12660.0,13015.0,12570.0,12910.0,666544.0
2017-07-12,12870.0,13420.0,12835.0,13235.0,893966.0
2017-07-13,13185.0,13310.0,13075.0,13245.0,582052.0
2017-07-14,13270.0,13495.0,13010.0,13455.0,902542.0
2017-07-17,13465.0,13720.0,13380.0,13495.0,832902.0
2017-07-18,13495.0,13675.0,13305.0,13460.0,746528.0
2017-07-19,13490.0,14070.0,13420.0,14045.0,872474.0
2017-07-20,14065.0,14320.0,13940.0,14035.0,812150.0
2017-07-21,14010.0,14105.0,13720.0,13970.0,691752.0
2017-07-24,13925.0,13975.0,13360.0,13515.0,639658.0
2017-07-25,13500.0,13820.0,13415.0,13640.0,545874.0
2017-07-26,13690.0,13850.0,13310.0,13420.0,681534.0
2017-07-27,13400.0,13540.0,13325.0,13480.0,384880.0
2017-07-28,13480.0,13600.0,12500.0,12500.0,686942.0
2017-07-31,12500.0,12625.0,12305.0,12545.0,421674.0
2017-08-01,12505.0,12620.0,12400.0,12430.0,220726.0
2017-08-02,15250.0,15460.0,15010.0,15235.0,650548.0
2017-08-03,15225.0,15395.0,15150.0,15245.0,539160.0
2017-08-04,15290.0,15870.0,15155.0,15705.0,790104.0
2017-08-07,15710.0,16305.0,15705.0,16030.0,847940.0
2017-08-08,16040.0,16240.0,15800.0,16070.0,749864.0
2017-08-09,16090.0,16750.0,15990.0,16615.0,916844.0
2017-08-10,16635.0,16730.0,16320.0,16460.0,768906.0
2017-08-11,16435.0,16630.0,15615.0,15935.0,1120384.0
2017-08-14,15980.0,16150.0,15805.0,15920.0,645622.0
2017-08-15,15905.0,16320.0,15660.0,16215.0,986582.0
2017-08-16,16200.0,16395.0,16110.0,16265.0,745886.0
2017-08-17,16315.0,16990.0,16285.0,16435.0,1112480.0
2017-08-18,16400.0,16660.0,16110.0,16580.0,832842.0
2017-08-21,16580.0,16770.0,16350.0,16585.0,998940.0
2017-08-22,16600.0,16800.0,16330.0,16700.0,863710.0
2017-08-23,16710.0,16735.0,16265.0,16475.0,832532.0
2017-08-24,16470.0,16620.0,16310.0,16420.0,756384.0
2017-08-25,16410.0,16935.0,16350.0,16720.0,796220.0
2017-08-28,16710.0,16795.0,16350.0,16645.0,583214.0
2017-08-29,16645.0,16725.0,16205.0,16445.0,731904.0
2017-08-30,16520.0,16520.0,16235.0,16395.0,537050.0
2017-08-31,16365.0,16695.0,16095.0,16545.0,805736.0
2017-09-01,16575.0,16720.0,16525.0,16620.0,530500.0
2017-09-04,16615.0,17410.0,16590.0,17165.0,1043544.0
2017-09-05,17185.0,17435.0,17150.0,17335.0,616938.0
2017-09-06,17500.0,17840.0,17200.0,17570.0,882434.0
2017-09-07,17605.0,17725.0,17360.0,17490.0,756956.0
2017-09-08,17495.0,17520.0,16500.0,16760.0,1092626.0
2017-09-11,16800.0,16850.0,16320.0,16665.0,726502.0
2017-09-12,16710.0,16820.0,16580.0,16750.0,572112.0
2017-09-13,16705.0,17055.0,16630.0,16775.0,758170.0
2017-09-14,16725.0,16770.0,16360.0,16420.0,779666.0
2017-09-15,16450.0,16490.0,15680.0,15725.0,956858.0
2017-09-18,15790.0,15820.0,15055.0,15210.0,853950.0
2017-09-19,15220.0,15335.0,14905.0,14960.0,616980.0
2017-09-20,15000.0,15175.0,14775.0,15085.0,665654.0
2017-09-21,15120.0,15190.0,14440.0,14515.0,947200.0
2017-09-22,14580.0,14665.0,14330.0,14565.0,689214.0
2017-09-25,14685.0,14730.0,14445.0,14580.0,535508.0
2017-09-26,14605.0,14825.0,14490.0,14625.0,562254.0
2017-09-27,14570.0,14730.0,14510.0,14655.0,446130.0
2017-09-28,14650.0,14680.0,13605.0,13605.0,644526.0
2017-09-29,13500.0,13550.0,12905.0,13495.0,908032.0
2017-10-09,13615.0,13660.0,13165.0,13350.0,414786.0
2017-10-10,13360.0,13450.0,13215.0,13315.0,473376.0
2017-10-11,13320.0,13475.0,12920.0,13245.0,732788.0
2017-10-12,13145.0,13550.0,13040.0,13375.0,671972.0
2017-10-13,13420.0,13680.0,13360.0,13575.0,646960.0
2017-10-16,13600.0,13930.0,13405.0,13580.0,746286.0
2017-10-17,13575.0,13675.0,13175.0,13530.0,730018.0
2017-10-18,13520.0,13720.0,13470.0,13570.0,603424.0
2017-10-19,13600.0,13785.0,13320.0,13365.0,905204.0
2017-10-20,13355.0,13800.0,13210.0,13700.0,672996.0
2017-10-23,13700.0,13840.0,13315.0,13500.0,753614.0
2017-10-24,13500.0,13630.0,13360.0,13425.0,691724.0
2017-10-25,13440.0,13680.0,13215.0,13535.0,678650.0
2017-10-26,13535.0,13645.0,13330.0,13555.0,573424.0
2017-10-27,13570.0,13615.0,13120.0,13330.0,734474.0
2017-10-30,13290.0,13425.0,13235.0,13285.0,456754.0
2017-10-31,13300.0,13355.0,13150.0,13260.0,447752.0
2017-11-01,13285.0,13855.0,13280.0,13595.0,749974.0
2017-11-02,13575.0,13905.0,13520.0,13785.0,582486.0
2017-11-03,13745.0,13820.0,13590.0,13690.0,415098.0
