,L.DCE_open,L.DCE_high,L.DCE_low,L.DCE_close,L.DCE_volume
2019-11-21,7110.0,7200.0,7080.0,7180.0,546422.0
2019-11-22,7195.0,7240.0,7155.0,7170.0,390870.0
2019-11-25,7170.0,7250.0,7170.0,7225.0,362352.0
2019-11-26,7225.0,7250.0,7200.0,7210.0,305640.0
2019-11-27,7210.0,7245.0,7180.0,7190.0,322292.0
2019-11-28,7205.0,7235.0,7170.0,7220.0,291266.0
2019-11-29,7225.0,7310.0,7210.0,7305.0,407470.0
2019-12-02,7290.0,7340.0,7250.0,7330.0,333898.0
2019-12-03,7340.0,7365.0,7290.0,7290.0,315202.0
2019-12-04,7235.0,7255.0,7200.0,7225.0,166244.0
2019-12-05,7230.0,7250.0,7205.0,7210.0,147980.0
2019-12-06,7220.0,7275.0,7215.0,7270.0,224970.0
2019-12-09,7270.0,7375.0,7260.0,7275.0,713842.0
2019-12-10,7265.0,7300.0,7225.0,7245.0,418018.0
2019-12-11,7235.0,7255.0,7170.0,7175.0,444540.0
2019-12-12,7175.0,7235.0,7165.0,7210.0,418034.0
2019-12-13,7210.0,7280.0,7195.0,7275.0,493532.0
2019-12-16,7275.0,7330.0,7245.0,7290.0,616582.0
2019-12-17,7290.0,7330.0,7270.0,7275.0,448566.0
2019-12-18,7285.0,7325.0,7235.0,7245.0,445736.0
2019-12-19,7240.0,7275.0,7205.0,7270.0,440720.0
2019-12-20,7260.0,7370.0,7255.0,7330.0,584578.0
2019-12-23,7330.0,7355.0,7295.0,7335.0,436586.0
2019-12-24,7340.0,7360.0,7290.0,7300.0,407520.0
2019-12-25,7300.0,7360.0,7290.0,7350.0,443344.0
2019-12-26,7350.0,7395.0,7335.0,7380.0,379464.0
2019-12-27,7380.0,7420.0,7365.0,7375.0,460198.0
2019-12-30,7375.0,7445.0,7370.0,7405.0,420762.0
2019-12-31,7405.0,7415.0,7305.0,7310.0,533090.0
2020-01-02,7325.0,7335.0,7300.0,7310.0,139007.0
2020-01-03,7310.0,7360.0,7270.0,7350.0,272824.0
